date,indexA
Jan-1992,790
Feb-1992,539
Mar-1992,535
Apr-1992,523
May-1992,552
Jun-1992,589
Jul-1992,592
Aug-1992,894
Sep-1992,861
Oct-1992,645
Nov-1992,642
Dec-1992,1165
Jan-1993,998
Feb-1993,568
Mar-1993,602
Apr-1993,583
May-1993,612
Jun-1993,618
Jul-1993,607
Aug-1993,983
Sep-1993,903
Oct-1993,669
Nov-1993,692
Dec-1993,1273
Jan-1994,1053
Feb-1994,635
Mar-1994,634
Apr-1994,610
May-1994,684
Jun-1994,724
Jul-1994,678
Aug-1994,1154
Sep-1994,1022
Oct-1994,732
Nov-1994,772
Dec-1994,1409
Jan-1995,1308
Feb-1995,718
Mar-1995,695
Apr-1995,688
May-1995,785
Jun-1995,808
Jul-1995,782
Aug-1995,1248
Sep-1995,1102
Oct-1995,746
Nov-1995,850
Dec-1995,1466
Jan-1996,1373
Feb-1996,757
Mar-1996,743
Apr-1996,750
May-1996,853
Jun-1996,838
Jul-1996,786
Aug-1996,1359
Sep-1996,1040
Oct-1996,899
Nov-1996,908
Dec-1996,1599
Jan-1997,1558
Feb-1997,825
Mar-1997,813
Apr-1997,806
May-1997,894
Jun-1997,875
Jul-1997,830
Aug-1997,1301
Sep-1997,1158
Oct-1997,923
Nov-1997,994
Dec-1997,1765
Jan-1998,1463
Feb-1998,921
Mar-1998,882
Apr-1998,854
May-1998,919
Jun-1998,939
Jul-1998,881
Aug-1998,1385
Sep-1998,1246
Oct-1998,953
Nov-1998,990
Dec-1998,1849
Jan-1999,1514
Feb-1999,990
Mar-1999,976
Apr-1999,933
May-1999,976
Jun-1999,1031
Jul-1999,1023
Aug-1999,1386
Sep-1999,1240
Oct-1999,1019
Nov-1999,1088
Dec-1999,1996
Jan-2000,1505
Feb-2000,1090
Mar-2000,1031
Apr-2000,975
May-2000,1104
Jun-2000,1122
Jul-2000,1048
Aug-2000,1594
Sep-2000,1406
Oct-2000,1014
Nov-2000,1098
Dec-2000,1892
Jan-2001,1585
Feb-2001,1070
Mar-2001,1062
Apr-2001,934
May-2001,1070
Jun-2001,1077
Jul-2001,1005
Aug-2001,1820
Sep-2001,1406
Oct-2001,1015
Nov-2001,1098
Dec-2001,1956
Jan-2002,1971
Feb-2002,1000
Mar-2002,1008
Apr-2002,966
May-2002,1116
Jun-2002,1045
Jul-2002,1038
Aug-2002,1797
Sep-2002,1490
Oct-2002,997
Nov-2002,1059
Dec-2002,1950
Jan-2003,2056
Feb-2003,991
Mar-2003,925
Apr-2003,975
May-2003,1107
Jun-2003,1181
Jul-2003,1128
Aug-2003,2139
Sep-2003,1572
Oct-2003,1045
Nov-2003,1036
Dec-2003,2064
Jan-2004,2146
Feb-2004,1108
Mar-2004,1073
Apr-2004,1023
May-2004,1113
Jun-2004,1207
Jul-2004,1172
Aug-2004,2120
Sep-2004,1561
Oct-2004,1069
Nov-2004,1089
Dec-2004,2200
Jan-2005,2076
Feb-2005,1086
Mar-2005,1101
Apr-2005,997
May-2005,1120
Jun-2005,1154
Jul-2005,1214
Aug-2005,2218
Sep-2005,1554
Oct-2005,1064
Nov-2005,1151
Dec-2005,2257
Jan-2006,2225
Feb-2006,1101
Mar-2006,1092
Apr-2006,987
May-2006,1176
Jun-2006,1238
Jul-2006,1135
Aug-2006,2142
Sep-2006,1554
Oct-2006,1054
Nov-2006,1142
Dec-2006,2132
Jan-2007,2220
Feb-2007,1039
Mar-2007,1027
Apr-2007,930
May-2007,1134
Jun-2007,1161
Jul-2007,1220
Aug-2007,2327
Sep-2007,1578
Oct-2007,1129
Nov-2007,1227
Dec-2007,2179
Jan-2008,2300
Feb-2008,1157
Mar-2008,1026
Apr-2008,1004
May-2008,1158
Jun-2008,1073
Jul-2008,1121
Aug-2008,2425
Sep-2008,1471
Oct-2008,1024
Nov-2008,1034
Dec-2008,2008
Jan-2009,2189
Feb-2009,970
Mar-2009,945
Apr-2009,913
May-2009,1053
Jun-2009,1040
Jul-2009,1038
Aug-2009,2296
Sep-2009,1522
Oct-2009,960
