date,indexC
Jan-1992,620
Feb-1992,585
Mar-1992,643
Apr-1992,706
May-1992,660
Jun-1992,721
Jul-1992,678
Aug-1992,653
Sep-1992,638
Oct-1992,789
Nov-1992,1332
Dec-1992,3226
Jan-1993,598
Feb-1993,576
Mar-1993,683
Apr-1993,735
May-1993,685
Jun-1993,722
Jul-1993,745
Aug-1993,682
Sep-1993,671
Oct-1993,799
Nov-1993,1480
Dec-1993,3275
Jan-1994,618
Feb-1994,637
Mar-1994,819
Apr-1994,782
May-1994,742
Jun-1994,758
Jul-1994,778
Aug-1994,801
Sep-1994,806
Oct-1994,987
Nov-1994,1677
Dec-1994,3445
Jan-1995,683
Feb-1995,665
Mar-1995,823
Apr-1995,867
May-1995,821
Jun-1995,873
Jul-1995,851
Aug-1995,846
Sep-1995,846
Oct-1995,993
Nov-1995,1830
Dec-1995,3616
Jan-1996,705
Feb-1996,737
Mar-1996,890
Apr-1996,862
May-1996,669
Jun-1996,849
Jul-1996,877
Aug-1996,874
Sep-1996,870
Oct-1996,1094
Nov-1996,2002
Dec-1996,4073
Jan-1997,730
Feb-1997,791
Mar-1997,1032
Apr-1997,896
May-1997,947
Jun-1997,940
Jul-1997,963
Aug-1997,958
Sep-1997,971
Oct-1997,1141
Nov-1997,2009
Dec-1997,3643
Jan-1998,858
Feb-1998,883
Mar-1998,987
Apr-1998,1022
May-1998,986
Jun-1998,1016
Jul-1998,1042
Aug-1998,1025
Sep-1998,1005
Oct-1998,1197
Nov-1998,2011
Dec-1998,3801
Jan-1999,933
Feb-1999,966
Mar-1999,1135
Apr-1999,1076
May-1999,1061
Jun-1999,1101
Jul-1999,1083
Aug-1999,1101
Sep-1999,1111
Oct-1999,1277
Nov-1999,2096
Dec-1999,3711
Jan-2000,893
Feb-2000,1002
Mar-2000,1106
Apr-2000,1136
May-2000,1072
Jun-2000,1098
Jul-2000,1124
Aug-2000,1132
Sep-2000,1175
Oct-2000,1285
Nov-2000,2161
Dec-2000,3763
Jan-2001,880
Feb-2001,971
Mar-2001,1176
Apr-2001,1063
May-2001,1038
Jun-2001,1107
Jul-2001,1094
Aug-2001,1065
Sep-2001,1050
Oct-2001,1303
Nov-2001,2445
Dec-2001,3628
Jan-2002,896
Feb-2002,966
Mar-2002,1186
Apr-2002,1014
May-2002,1078
Jun-2002,1065
Jul-2002,1103
Aug-2002,1087
Sep-2002,1048
Oct-2002,1347
Nov-2002,2468
Dec-2002,3651
Jan-2003,910
Feb-2003,940
Mar-2003,1111
Apr-2003,1139
May-2003,1088
Jun-2003,1064
Jul-2003,1094
Aug-2003,1087
Sep-2003,1095
Oct-2003,1286
Nov-2003,2223
Dec-2003,3545
Jan-2004,962
Feb-2004,1045
Mar-2004,1125
Apr-2004,1082
May-2004,974
Jun-2004,1024
Jul-2004,1086
Aug-2004,1016
Sep-2004,1051
Oct-2004,1311
Nov-2004,2187
Dec-2004,3451
Jan-2005,950
Feb-2005,980
Mar-2005,1173
Apr-2005,1098
May-2005,1061
Jun-2005,1049
Jul-2005,1077
Aug-2005,1028
Sep-2005,1019
Oct-2005,1229
Nov-2005,2120
Dec-2005,3471
Jan-2006,1063
Feb-2006,1022
Mar-2006,1117
Apr-2006,1094
May-2006,1040
Jun-2006,1048
Jul-2006,1070
Aug-2006,1043
Sep-2006,1086
Oct-2006,1205
Nov-2006,1933
Dec-2006,3299
Jan-2007,948
Feb-2007,974
Mar-2007,1188
Apr-2007,1064
May-2007,1050
Jun-2007,1096
Jul-2007,1102
Aug-2007,1084
Sep-2007,1102
Oct-2007,1275
Nov-2007,2208
Dec-2007,3253
Jan-2008,1045
Feb-2008,1078
Mar-2008,1185
Apr-2008,1082
May-2008,1132
Jun-2008,1045
Jul-2008,1100
Aug-2008,1067
Sep-2008,1063
Oct-2008,1221
Nov-2008,1964
Dec-2008,3125
Jan-2009,1034
Feb-2009,1012
Mar-2009,1099
Apr-2009,1089
May-2009,1068
Jun-2009,1025
Jul-2009,1062
Aug-2009,1011
Sep-2009,1067
Oct-2009,1200
Nov-2009,1850
Dec-2009,3013
Jan-2010,958
Feb-2010,1005
Mar-2010,1161
Apr-2010,1065
May-2010,1036
Jun-2010,1030
Jul-2010,1077
Aug-2010,1046
Sep-2010,1080
Oct-2010,1262
Nov-2010,2003
Dec-2010,3082
Jan-2011,972
Feb-2011,1030
Mar-2011,1201
Apr-2011,1192
May-2011,1073
Jun-2011,1069
Jul-2011,1089
Aug-2011,1074
Sep-2011,1151
Oct-2011,1252
Nov-2011,1964
Dec-2011,3052
Jan-2012,1072
Feb-2012,1192
Mar-2012,1270
Apr-2012,1156
May-2012,1186
Jun-2012,1130
Jul-2012,1123
Aug-2012,1126
Sep-2012,1158
Oct-2012,1275
Nov-2012,1945
Dec-2012,2987
Jan-2013,1033
Feb-2013,1083
Mar-2013,1255
Apr-2013,1121
May-2013,1130
Jun-2013,1069
Jul-2013,1119
Aug-2013,1156
Sep-2013,1172
Oct-2013,1349
Nov-2013,2153
Dec-2013,3291
Jan-2014,1019
Feb-2014,1091
Mar-2014,1221
Apr-2014,1204
May-2014,1178
Jun-2014,1089
Jul-2014,1187
Aug-2014,1191
Sep-2014,1256
Oct-2014,1361
